packet_size_bytes,avg_rtt_ms,min_rtt_ms,max_rtt_ms,median_rtt_ms
64,16.217055320739746,12.026548385620117,25.640487670898438,15.766620635986328
256,16.676931381225586,15.041828155517578,27.8322696685791,15.811324119567871
1024,16.208910942077637,14.454841613769531,22.951841354370117,15.690445899963379
4096,15.988292694091797,10.363578796386719,24.48868751525879,15.725851058959961
